jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Cumi Tabung - Uroteuthis Duvaucelii,Cumi Tabung,Uroteuthis Duvaucelii,OJD,Binatang Lunak
Cumi-Cumi - Alloteuthis Subulata,Cumi-Cumi,Alloteuthis Subulata,OUL,binatang lunak
Cumi-Cumi - Doryteuthis Pealeii,Cumi-Cumi,Doryteuthis Pealeii,SQL,binatang lunak
Cumi-Cumi - Illex Argentinus,Cumi-Cumi,Illex Argentinus,SQA,binatang lunak
Cumi-Cumi - Loligo Chinensis,Cumi-Cumi,Loligo Chinensis,OJH,Binatang Lunak
Cumi-Cumi - Loligo Duvauceli,Cumi-Cumi,Loligo Duvauceli,,Binatang Lunak
Cumi-Cumi - Loligo Edulis,Cumi-Cumi,Loligo Edulis,,Binatang Lunak
Cumi-Cumi - Loligo Spp,Cumi-Cumi,Loligo Spp,SQC,Binatang Lunak
Cumi-Cumi - Loligo Vulgaris,Cumi-Cumi,Loligo Vulgaris,SQR,Binatang Lunak
Cumi-Cumi - Photololigo Chinensis,Cumi-Cumi,Photololigo Chinensis,,binatang lunak
Cumi-Cumi - Photololigo Duvauceli,Cumi-Cumi,Photololigo Duvauceli,,binatang lunak
Cumi-Cumi - Photololigo Edulis,Cumi-Cumi,Photololigo Edulis,,binatang lunak
Cumi-Cumi - Sephiatheotus Sephiana,Cumi-Cumi,Sephiatheotus Sephiana,,binatang lunak
Cumi-Cumi - Uroteuthis Chinensis,Cumi-Cumi,Uroteuthis Chinensis,OJH,Binatang Lunak
Cupang-Cupang - Triacanthus Nieuhofii,Cupang-Cupang,Triacanthus Nieuhofii,,demersal
Curutan - Scolopsis Affinis,Curutan,Scolopsis Affinis,RVL,Ikan Karang
Dayung Putih - Acipenser Transmontanus,Dayung Putih,Acipenser Transmontanus,APN,demersal
Dayung Starry - Acipenser Stellatus,Dayung Starry,Acipenser Stellatus,APE,demersal
Deep-Water Frogfish - Nudiantennarius Subteres,Deep-Water Frogfish,Nudiantennarius Subteres,NUS,demersal
Delicate Ghostpipefish - Solenostomus Leptosoma,Delicate Ghostpipefish,Solenostomus Leptosoma,,ikan karang
Dentata - Porcostoma Dentata,Dentata,Porcostoma Dentata,,ikan karang
Double-Ended Pipefish - Trachyrhamphus Bicoarctatus,Double-Ended Pipefish,Trachyrhamphus Bicoarctatus,TYF,ikan karang
Doublespot Grubfish - Parapercis Diplospilus,Doublespot Grubfish,Parapercis Diplospilus,,demersal
Dugong - Dugong Dugon,Dugong,Dugong Dugon,DUG,binatang air lainnya
Duncker'S Pipefish - Halicampus Dunckeri,Duncker'S Pipefish,Halicampus Dunckeri,,ikan karang
Eight-Spine Cardinalfish - Neamia Octospina,Eight-Spine Cardinalfish,Neamia Octospina,NMT,ikan karang
Ekor Kuning - Caesio Cuning,Ekor Kuning,Caesio Cuning,CJU,Ikan Karang
Ekor Kuning - Paracaesio Brevidentata,Ekor Kuning,Paracaesio Brevidentata,QNE,Ikan Karang
Ekor Kuning Biru-Kuning - Caesio Teres,Ekor Kuning Biru-Kuning,Caesio Teres,IFK,Ikan Karang
Ekor Kuning Bulan - Caesio Lunaris,Ekor Kuning Bulan,Caesio Lunaris,CJZ,Ikan Karang
Emperor Thumbprint - Lethrinus Harak,Emperor Thumbprint,Lethrinus Harak,LTK,Demersal
False Ear-Spot Cardinalfish - Ostorhinchus Jenkinsi,False Ear-Spot Cardinalfish,Ostorhinchus Jenkinsi,,ikan karang
Few-Rayed Pipefish - Bhanotia Pauciradiata,Few-Rayed Pipefish,Bhanotia Pauciradiata,,ikan karang
Flag-Fin Cardinalfish - Ostorhinchus Hoevenii,Flag-Fin Cardinalfish,Ostorhinchus Hoevenii,,ikan karang
Flathead - Inegocia Harrisii,Flathead,Inegocia Harrisii,,demersal
Flathead - Inegocia Japonica,Flathead,Inegocia Japonica,IGJ,demersal
Flathead - Inegocia Ochiaii,Flathead,Inegocia Ochiaii,,demersal
Flathead - Sunagocia Arenicola,Flathead,Sunagocia Arenicola,TAN,ikan karang
Flathead - Sunagocia Carbunculus,Flathead,Sunagocia Carbunculus,,demersal
Flathead - Sunagocia Otaitensis,Flathead,Sunagocia Otaitensis,,ikan karang
Flores Cardinalfish - Apogonichthys Perdix,Flores Cardinalfish,Apogonichthys Perdix,OGX,ikan karang
Frail Cardinalfish - Cercamia Cladara,Frail Cardinalfish,Cercamia Cladara,,ikan karang
Gabing Kuning - Vomerogobius Flavus,Gabing Kuning,Vomerogobius Flavus,,demersal
Gabus - Channa Striata,Gabus,Channa Striata,FSS,Demersal
Galuh - Cubiceps Pauciradiatus,Galuh,Cubiceps Pauciradiatus,UBU,demersal
Galuh Botol Biru - Nomeus Gronovii,Galuh Botol Biru,Nomeus Gronovii,NMG,demersal
Galuh Dusky - Psenes Arafurensis,Galuh Dusky,Psenes Arafurensis,,demersal
Galuh Freckled - Psenes Cyanophrys,Galuh Freckled,Psenes Cyanophrys,PSC,demersal
Galuh Marmoyo - Ariomma Indica,Galuh Marmoyo,Ariomma Indica,DRI,Demersal
Galuh Putih - Ariomma Brevimanum,Galuh Putih,Ariomma Brevimanum,,Pelagis Kecil
Galuh Putih - Psenes Pellucidus,Galuh Putih,Psenes Pellucidus,,demersal
Galuh Setan - Cubiceps Whiteleggii,Galuh Setan,Cubiceps Whiteleggii,UJI,demersal
Gandu - Ephippus Orbis,Gandu,Ephippus Orbis,HUO,Ikan Karang
Gebel - Platax Orbicularis,Gebel,Platax Orbicularis,LXR,Pelagis Kecil
Gendang Batu - Proteracanthus Sarissophorus,Gendang Batu,Proteracanthus Sarissophorus,TUF,ikan karang
Gerot-Gerot - Pomadasys Andamanensis,Gerot-Gerot,Pomadasys Andamanensis,,Ikan Karang
Gerot-Gerot - Pomadasys Argenteus,Gerot-Gerot,Pomadasys Argenteus,GRL,Ikan Karang
Gerot-Gerot - Pomadasys Kaakan,Gerot-Gerot,Pomadasys Kaakan,KAH,demersal
Gerot-Gerot - Pomadasys Maculatus,Gerot-Gerot,Pomadasys Maculatus,PKL,Demersal
Gerot-Gerot Silver - Pomadasys Argyreus,Gerot-Gerot Silver,Pomadasys Argyreus,QCZ,Ikan Karang
Gindara - Cubiceps Capensis,Gindara,Cubiceps Capensis,UBP,Demersal
Gindara Escolar - Lepidocybium Flavobrunneum,Gindara Escolar,Lepidocybium Flavobrunneum,LEC,Demersal
Gindara Setan - Ruvettus Pretiosus,Gindara Setan,Ruvettus Pretiosus,OIL,Pelagis Besar
Girdled Cardinalfish - Taeniamia Zosterophora,Girdled Cardinalfish,Taeniamia Zosterophora,RMZ,ikan karang
Giru Pasir Biasa - Amphiprion Clarkii,Giru Pasir Biasa,Amphiprion Clarkii,FAP,Ikan Karang
Glittering Pipefish - Halicampus Nitidus,Glittering Pipefish,Halicampus Nitidus,,ikan karang
Gobi Blue-Speckled Prawn - Cryptocentrus Octofasciatus,Gobi Blue-Speckled Prawn,Cryptocentrus Octofasciatus,,demersal
Gobi Boddart'S Goggle-Eyed - Boleophthalmus Boddarti,Gobi Boddart'S Goggle-Eyed,Boleophthalmus Boddarti,,demersal
Gobi Celebes - Glossogobius Celebius,Gobi Celebes,Glossogobius Celebius,,demersal
Gobi Common Fuse - Fusigobius Neophytus,Gobi Common Fuse,Fusigobius Neophytus,,demersal
Gobi Dusky Mountain - Glossogobius Brunnoides,Gobi Dusky Mountain,Glossogobius Brunnoides,,demersal
Gobi Eye-Line Sand - Istigobius Diadema,Gobi Eye-Line Sand,Istigobius Diadema,,demersal
Gobi Hoese'S Silhoutte - Silhouettea Hoesei,Gobi Hoese'S Silhoutte,Silhouettea Hoesei,,demersal
Gobi Isthmus - Arcygobius Baliurus,Gobi Isthmus,Arcygobius Baliurus,OUT,demersal
Gobi Mangrove - Amoya Gracilis,Gobi Mangrove,Amoya Gracilis,,ikan karang
Gobi Patch Work - Gobiopsis Bravoi,Gobi Patch Work,Gobiopsis Bravoi,,ikan karang
Gobi Scalynape Tentacle - Oxyurichthys Auchenolepis,Gobi Scalynape Tentacle,Oxyurichthys Auchenolepis,,demersal
Gobi Schooling - Parioglossus Formosus,Gobi Schooling,Parioglossus Formosus,,ikan karang
Gobi Sharptail - Oligolepis Acutipennis,Gobi Sharptail,Oligolepis Acutipennis,OGU,demersal
Gobi Silhoutte - Silhouettea Insinuans,Gobi Silhoutte,Silhouettea Insinuans,,demersal
Gobi Sleepy - Psammogobius Biocellatus,Gobi Sleepy,Psammogobius Biocellatus,GBI,demersal
Gobi Spotfin Shrimp - Ctenogobiops Pomastictus,Gobi Spotfin Shrimp,Ctenogobiops Pomastictus,,ikan karang
Gobi Taileye - Parachaeturichthys Polynema,Gobi Taileye,Parachaeturichthys Polynema,URY,demersal
Gobi Two Spot Fuse - Fusigobius Duospilus,Gobi Two Spot Fuse,Fusigobius Duospilus,FUD,ikan karang
Gobi Yellow Spot - Gnatholepis Cauerensis,Gobi Yellow Spot,Gnatholepis Cauerensis,,demersal
Golok-Golok - Chirocentrus Dorab,Golok-Golok,Chirocentrus Dorab,DOB,Pelagis Kecil
Golok-Golok Sirip Putih - Chirocentrus Nudus,Golok-Golok Sirip Putih,Chirocentrus Nudus,CNU,Pelagis Kecil
Gontor - Ariomma Indicum,Gontor,Ariomma Indicum,,Demersal
Grandang Abu-Abu - Kyphosus Cinerascens,Grandang Abu-Abu,Kyphosus Cinerascens,KYC,Ikan Karang
Grandang Kuningan - Kyphosus Vaigiensis,Grandang Kuningan,Kyphosus Vaigiensis,KYV,Demersal
Gray'S Pipefish - Halicampus Grayi,Gray'S Pipefish,Halicampus Grayi,,ikan karang
Guam Cardinalfish - Nectamia Fusca,Guam Cardinalfish,Nectamia Fusca,,ikan karang
Guitarfish - Glaucostegus Cemiculus,Guitarfish,Glaucostegus Cemiculus,RBC,demersal
Guitarfish - Rhinobatos Albomaculatus,Guitarfish,Rhinobatos Albomaculatus,GUB,demersal
Guitarfish - Rhinobatos Cemiculus,Guitarfish,Rhinobatos Cemiculus,,demersal
Gulama Kepala Batu - Johnius Trachycephalus,Gulama Kepala Batu,Johnius Trachycephalus,JOT,Demersal
Gulama Soldado - Nibea Soldado,Gulama Soldado,Nibea Soldado,NDK,Demersal
Gulamah - Atrobucca Nibe,Gulamah,Atrobucca Nibe,CRL,demersal
Gulamah - Johnius Macropterus,Gulamah,Johnius Macropterus,,Demersal
Gulamah - Otolithoides Pama,Gulamah,Otolithoides Pama,OTD,demersal
Gulamah - Pennahia Argentata,Gulamah,Pennahia Argentata,CRV,Demersal
Gulamah Amoy - Argyrosomus Amoyensis,Gulamah Amoy,Argyrosomus Amoyensis,RYY,Demersal
Gulamah Anea - Pennahia Anea,Gulamah Anea,Pennahia Anea,NHK,Demersal
Gulamah Bintik Hitam - Protonibea Diacanthus,Gulamah Bintik Hitam,Protonibea Diacanthus,OTI,Demersal
Gulamah Giligan - Panna Microdon,Gulamah Giligan,Panna Microdon,NAM,Demersal
Gulamah Jarang Gigi - Otolithes Ruber,Gulamah Jarang Gigi,Otolithes Ruber,LKR,Demersal
Gulamah Jepang - Argyrosomus Japonicus,Gulamah Jepang,Argyrosomus Japonicus,RYJ,Demersal
Gulamah Kuning - Larimichthys Crocea,Gulamah Kuning,Larimichthys Crocea,LYC,demersal
Gulamah Papan - Chrysochir Aureus,Gulamah Papan,Chrysochir Aureus,HRR,Demersal
Gulamah Sirip Pendek - Atrobucca Brevis,Gulamah Sirip Pendek,Atrobucca Brevis,,Demersal
Gurita - Cistopus Indicus,Gurita,Cistopus Indicus,KTI,Binatang Lunak
Gurita - Octopus Aegina,Gurita,Octopus Aegina,OUJ,Binatang Lunak
Gurita - Octopus Membranaceus,Gurita,Octopus Membranaceus,,Binatang Lunak
Gurita - Octopus Spp,Gurita,Octopus Spp,OCZ,Binatang Lunak
Gurita - Octopus Vulgaris,Gurita,Octopus Vulgaris,OCC,Binatang Lunak
Gurita Batu - Octopus Cyanea,Gurita Batu,Octopus Cyanea,OQC,Binatang Lunak
Gurita Biru - Octopus Cyaneus,Gurita Biru,Octopus Cyaneus,,binatang lunak
Gurita Kerdil - Amphioctopus Aegina,Gurita Kerdil,Amphioctopus Aegina,OUJ,Binatang Lunak
Gurita Mata Empat - Amphioctopus Membranaceus,Gurita Mata Empat,Amphioctopus Membranaceus,OQR,Binatang Lunak
Gurnard Starry Flying - Dactyloptena Peterseni,Gurnard Starry Flying,Dactyloptena Peterseni,,demersal
Hake - Merluccius Merluccius,Hake,Merluccius Merluccius,HKE,demersal
Halibut - Reinhardtius Hippoglossoides,Halibut,Reinhardtius Hippoglossoides,GHL,demersal
Halibut Pasifik - Hippoglossus Stenolepis,Halibut Pasifik,Hippoglossus Stenolepis,HAP,demersal
Harlequin Sandperch - Parapercis Maculata,Harlequin Sandperch,Parapercis Maculata,,ikan karang
Hayashi'S Cardinalfish - Pseudamia Hayashii,Hayashi'S Cardinalfish,Pseudamia Hayashii,,ikan karang
Hiu - Carcharhinus Spp,Hiu,Carcharhinus Spp,CWZ,Demersal
Hiu - Chimaera Argiloba,Hiu,Chimaera Argiloba,,pelagis besar
Hiu - Isistius Brasiliensis,Hiu,Isistius Brasiliensis,ISB,pelagis besar
Hiu - Nasolamia Velox,Hiu,Nasolamia Velox,CNX,pelagis besar
Hiu Air - Scoliodon Laticaudus,Hiu Air,Scoliodon Laticaudus,SLA,Pelagis Besar
Hiu Anjing - Carcharias Taurus,Hiu Anjing,Carcharias Taurus,CCT,pelagis besar
Hiu Anjing - Odontaspis Ferox,Hiu Anjing,Odontaspis Ferox,LOO,pelagis besar
Hiu Bekeman - Carcharhinus Leucas,Hiu Bekeman,Carcharhinus Leucas,CCE,Demersal
Hiu Berbintik - Orectolobus Maculatus,Hiu Berbintik,Orectolobus Maculatus,ORT,pelagis besar
Hiu Beurit - Nebrius Ferrugineus,Hiu Beurit,Nebrius Ferrugineus,ORZ,Pelagis Besar
Hiu Bongol - Chiloscyllium Indicum,Hiu Bongol,Chiloscyllium Indicum,ORI,pelagis besar
Hiu Bongol Bintik Putih - Chiloscyllium Plagiosum,Hiu Bongol Bintik Putih,Chiloscyllium Plagiosum,ORH,Pelagis Besar
Hiu Bongol Garis Coklat - Chiloscyllium Punctatum,Hiu Bongol Garis Coklat,Chiloscyllium Punctatum,ORB,Pelagis Besar
Hiu Botol - Centrophorus Atromarginatus,Hiu Botol,Centrophorus Atromarginatus,GVA,pelagis besar
Hiu Botol - Centrophorus Cf Lusitanicus,Hiu Botol,Centrophorus Cf Lusitanicus,,pelagis besar
Hiu Botol - Centrophorus Isodon,Hiu Botol,Centrophorus Isodon,GVI,pelagis besar
Hiu Botol - Centrophorus Niaukang,Hiu Botol,Centrophorus Niaukang,,pelagis besar
Hiu Botol - Centroscymnus Crepidater,Hiu Botol,Centroscymnus Crepidater,CYP,Pelagis Besar
Hiu Botol - Centroselachus Crepidater,Hiu Botol,Centroselachus Crepidater,CYP,Pelagis Besar
Hiu Botol - Squalus Mitsukurii,Hiu Botol,Squalus Mitsukurii,QUK,Pelagis Besar
Hiu Botol - Zameus Squamulosus,Hiu Botol,Zameus Squamulosus,SSQ,pelagis besar
Hiu Botol Danten - Centrophorus Moluccensis,Hiu Botol Danten,Centrophorus Moluccensis,CEM,Pelagis Besar
Hiu Botol Karang - Centrophorus Squamosus,Hiu Botol Karang,Centrophorus Squamosus,GUQ,Pelagis Besar
Hiu Botol Monyong - Deania Calcea,Hiu Botol Monyong,Deania Calcea,DCA,Pelagis Besar
Hiu Botol Monyong - Deania Cf Calcea,Hiu Botol Monyong,Deania Cf Calcea,,pelagis besar
Hiu Buaya - Pseudocarcharias Kamoharai,Hiu Buaya,Pseudocarcharias Kamoharai,PSK,Pelagis Besar
Hiu Bujit - Lamiopsis Temminckii,Hiu Bujit,Lamiopsis Temminckii,LMT,pelagis besar
Hiu Cermin - Glaucostegus Typus,Hiu Cermin,Glaucostegus Typus,RBQ,demersal
Hiu Gergaji - Pristis Microdon,Hiu Gergaji,Pristis Microdon,RPM,Pelagis Besar
Hiu Gergaji - Pristopsis Microdon,Hiu Gergaji,Pristopsis Microdon,RPM,Pelagis Besar
Hiu Jepang - Orectolobus Japonicus,Hiu Jepang,Orectolobus Japonicus,ORJ,pelagis besar
Hiu Kacang - Hemitriakis Indroyonoi,Hiu Kacang,Hemitriakis Indroyonoi,,pelagis besar
Hiu Kacang - Mustelus Cf Manazo,Hiu Kacang,Mustelus Cf Manazo,,pelagis besar
Hiu Kacang - Mustelus Widodoi,Hiu Kacang,Mustelus Widodoi,,pelagis besar
Hiu Kacang - Paragaleus Tengi,Hiu Kacang,Paragaleus Tengi,HEN,Demersal
Hiu Karang - Carcharhinus Melanopterus,Hiu Karang,Carcharhinus Melanopterus,BLR,Demersal
Hiu Karang - Iago Garricki,Hiu Karang,Iago Garricki,TIK,pelagis besar
Hiu Karpet Berbintik - Hemiscyllium Freycineti,Hiu Karpet Berbintik,Hemiscyllium Freycineti,ORF,Ikan Karang
Hiu Kebo - Carcharhinus Brachyurus,Hiu Kebo,Carcharhinus Brachyurus,BRO,Demersal
Hiu Kejen - Loxodon Macrorhinus,Hiu Kejen,Loxodon Macrorhinus,CLD,Pelagis Besar
Hiu Koboi - Carcharhinus Longimanus,Hiu Koboi,Carcharhinus Longimanus,OCS,Demersal
Hiu Kodok - Orectolobus Cf Ornatus,Hiu Kodok,Orectolobus Cf Ornatus,,pelagis besar
Hiu Kodok - Squatina Legnota,Hiu Kodok,Squatina Legnota,,Pelagis Besar
Hiu Kodok - Squatina Spp,Hiu Kodok,Squatina Spp,AGN,Demersal
Hiu Kodok - Squatinidae,Hiu Kodok,Squatinidae,ASK,Demersal
Hiu Kucing - Heptranchias Perlo,Hiu Kucing,Heptranchias Perlo,HXT,Pelagis Besar
Hiu Lainnya - Selachimorpha (Pleurotremata),Hiu Lainnya,Selachimorpha (Pleurotremata),SKH,Pelagis Besar
Hiu Lanjam - Carcharhinus Fitzroyensis,Hiu Lanjam,Carcharhinus Fitzroyensis,CCZ,Demersal
Hiu Lanjaman - Carcharhinus Falciformis,Hiu Lanjaman,Carcharhinus Falciformis,FAL,Pelagis Besar
Hiu Lanjaman Bercak Hitam - Carcharhinus Sealei,Hiu Lanjaman Bercak Hitam,Carcharhinus Sealei,CCI,Pelagis Besar
Hiu Lanjaman Cautus - Carcharhinus Cautus,Hiu Lanjaman Cautus,Carcharhinus Cautus,CCC,Pelagis Besar
Hiu Lanjaman Coides - Carcharhinus Amblyrhynchoides,Hiu Lanjaman Coides,Carcharhinus Amblyrhynchoides,CCY,Pelagis Besar
Hiu Lanjaman Macloti - Carcharhinus Macloti,Hiu Lanjaman Macloti,Carcharhinus Macloti,CCM,Pelagis Besar
Hiu Lanjaman Pipi Putih - Carcharhinus Dussumieri,Hiu Lanjaman Pipi Putih,Carcharhinus Dussumieri,CCD,Pelagis Besar
Hiu Lepang - Cephaloscyllium Pictum,Hiu Lepang,Cephaloscyllium Pictum,,pelagis besar
Hiu Lepang - Haraelurus Maculosus,Hiu Lepang,Haraelurus Maculosus,,Pelagis Besar
Hiu Lonjor - Carcharhinus Amblyrhynchos,Hiu Lonjor,Carcharhinus Amblyrhynchos,CWZ,Pelagis Besar
Hiu Macan - Galeocerdo Cuvier,Hiu Macan,Galeocerdo Cuvier,TIG,Pelagis Besar
Hiu Mako - Isurus Spp,Hiu Mako,Isurus Spp,MAK,Pelagis Besar
Hiu Mako Sirip Panjang - Isurus Paucus,Hiu Mako Sirip Panjang,Isurus Paucus,LMA,Demersal
Hiu Mako Sirip Pendek - Isurus Glaucus,Hiu Mako Sirip Pendek,Isurus Glaucus,,pelagis besar
Hiu Mako Sirip Pendek - Isurus Oxyrinchus,Hiu Mako Sirip Pendek,Isurus Oxyrinchus,SMA,Pelagis Besar
"Hiu Martil - Eusphyra Blochii 
",Hiu Martil,"Eusphyra Blochii 
",,Pelagis Besar
Hiu Martil - Sphyrna Lewini,Hiu Martil,Sphyrna Lewini,SPL,Pelagis Besar
Hiu Martil Besar - Sphyrna Mokarran,Hiu Martil Besar,Sphyrna Mokarran,SPK,Pelagis Besar
Hiu Martil Caping - Sphyrna Zygaena,Hiu Martil Caping,Sphyrna Zygaena,SPZ,Pelagis Besar
Hiu Martil Kepala Lebar - Eusphyra Blochii,Hiu Martil Kepala Lebar,Eusphyra Blochii,EUB,Pelagis Besar
Hiu Meong - Hexanchus Nakamurai,Hiu Meong,Hexanchus Nakamurai,HXN,Pelagis Besar
Hiu Merak Bulu Blacktip - Carcharhinus Limbatus,Hiu Merak Bulu Blacktip,Carcharhinus Limbatus,CCL,Pelagis Besar
Hiu Merak Bulu Hitam - Carcharhinus Obscurus,Hiu Merak Bulu Hitam,Carcharhinus Obscurus,DUS,Pelagis Besar
Hiu Merak Bulu Moncong Bulat - Carcharhinus Altimus,Hiu Merak Bulu Moncong Bulat,Carcharhinus Altimus,CCA,Pelagis Besar
Hiu Merak Bulu Super - Carcharhinus Brevipinna,Hiu Merak Bulu Super,Carcharhinus Brevipinna,CCB,Pelagis Besar
Hiu Monas - Hemipristis Elongata,Hiu Monas,Hemipristis Elongata,HEE,Pelagis Besar
Hiu Mongiwa - Carcharhinus Amboinensis,Hiu Mongiwa,Carcharhinus Amboinensis,CCF,pelagis besar
Hiu Monyet - Alopias Pelagicus,Hiu Monyet,Alopias Pelagicus,PTH,Pelagis Besar
Hiu Mulut Raksasa - Megachasma Pelagios,Hiu Mulut Raksasa,Megachasma Pelagios,LMP,Pelagis Besar
Hiu Narrownose - Mustellus Schimitti,Hiu Narrownose,Mustellus Schimitti,,pelagis besar
Hiu Paus - Rhincodon Typus,Hiu Paus,Rhincodon Typus,RHN,pelagis besar
Hiu Perawat - Ginglymostoma Cirratum,Hiu Perawat,Ginglymostoma Cirratum,GNC,pelagis besar
Hiu Pilus - Chaenogaleus Macrosatoma,Hiu Pilus,Chaenogaleus Macrosatoma,,pelagis besar
Hiu Pilus - Hemigaleus Microstoma,Hiu Pilus,Hemigaleus Microstoma,HEH,Pelagis Besar
Hiu Pilus - Rhizoprionodon Oligolink,Hiu Pilus,Rhizoprionodon Oligolink,,pelagis besar
Hiu Pilus - Rhizoprionodon Taylori,Hiu Pilus,Rhizoprionodon Taylori,RHY,pelagis besar
Hiu Pisang - Rhizoprionodon Acutus,Hiu Pisang,Rhizoprionodon Acutus,RHA,Pelagis Besar
Hiu Pogak - Hydrolagus Lemures,Hiu Pogak,Hydrolagus Lemures,,pelagis besar
Hiu Putih - Carcharodon Carcharias,Hiu Putih,Carcharodon Carcharias,WSH,pelagis besar
Hiu Putik - Mustelus Manazo,Hiu Putik,Mustelus Manazo,MTZ,Demersal
Hiu Selendang - Prionace Glauca,Hiu Selendang,Prionace Glauca,BSH,Pelagis Besar
Hiu Sicklefin - Negaprion Acutidens,Hiu Sicklefin,Negaprion Acutidens,NGA,pelagis besar
Hiu Sonteng - Carcharhinus Albimarginatus,Hiu Sonteng,Carcharhinus Albimarginatus,ALS,Demersal
Hiu Super - Carcharhinus Sorrah,Hiu Super,Carcharhinus Sorrah,CCQ,Pelagis Besar
Hiu Tahu - Pseudotriakis Microdon,Hiu Tahu,Pseudotriakis Microdon,PTM,pelagis besar
Hiu Tahu Putih - Hexanchus Griseus,Hiu Tahu Putih,Hexanchus Griseus,SBL,pelagis besar
Hiu Taji - Cirrhigaleus Barbifer,Hiu Taji,Cirrhigaleus Barbifer,CHF,pelagis besar
Hiu Taji - Squalus Edemudsi,Hiu Taji,Squalus Edemudsi,,pelagis besar
Hiu Taji - Squalus Hemipinnis,Hiu Taji,Squalus Hemipinnis,,pelagis besar
Hiu Taji - Squalus Mantalbani,Hiu Taji,Squalus Mantalbani,,pelagis besar
Hiu Taji - Squalus Megalops,Hiu Taji,Squalus Megalops,DOP,Pelagis Besar
Hiu Taji - Squalus Nasutus,Hiu Taji,Squalus Nasutus,,pelagis besar
Hiu Tanduk Putih - Triaenodon Obesus,Hiu Tanduk Putih,Triaenodon Obesus,TRB,pelagis besar
Hiu Teteri - Carcharhinus Plumbeus,Hiu Teteri,Carcharhinus Plumbeus,CCP,Demersal
Hiu Tikus - Alopias Vulpinus,Hiu Tikus,Alopias Vulpinus,ALV,Pelagis Besar
Hiu Tikus - Dalatias Licha,Hiu Tikus,Dalatias Licha,SCK,pelagis besar
Hiu Tikus Mata Besar - Alopias Superciliosus,Hiu Tikus Mata Besar,Alopias Superciliosus,BTH,Pelagis Besar
Hiu Tjutjot Pisang - Chiloscyllium Griseum,Hiu Tjutjot Pisang,Chiloscyllium Griseum,ORR,pelagis besar
Hiu Tokek - Atelomycterus Baliensis,Hiu Tokek,Atelomycterus Baliensis,,pelagis besar
Hiu Tokek - Atelomycterus Marmoratus,Hiu Tokek,Atelomycterus Marmoratus,ATY,Demersal
Hiu Tokek - Stegostoma Fasciatum,Hiu Tokek,Stegostoma Fasciatum,OSF,Demersal
Hiu Tokek Lepang - Halaelurus Maculosus,Hiu Tokek Lepang,Halaelurus Maculosus,,Pelagis Besar
Hiu Tutul - Stegostoma Tigrinum,Hiu Tutul,Stegostoma Tigrinum,OSF,Pelagis Besar
Hokke - Pleurogrammus Azonus,Hokke,Pleurogrammus Azonus,ATK,pelagis
Honshu Pipefish - Doryrhamphus Japonicus,Honshu Pipefish,Doryrhamphus Japonicus,,ikan karang
Ikan Ayam-Ayam - Abalistes Stellatus,Ikan Ayam-Ayam,Abalistes Stellatus,AJS,Ikan Karang
Ikan Bidadari Batik - Pomacanthus Imperator,Ikan Bidadari Batik,Pomacanthus Imperator,OAI,Pelagis Besar
Ikan Bidadari Biru - Pomacanthus Semicirculatus,Ikan Bidadari Biru,Pomacanthus Semicirculatus,QFI,Demersal
Ikan Buntal Emas - Lagocephalus Spadiceus,Ikan Buntal Emas,Lagocephalus Spadiceus,KZP,Ikan Karang
Ikan Demersal Lainnya - Ikan Demersal Lainnya,Ikan Demersal Lainnya,Ikan Demersal Lainnya,,Demersal
Ikan Gabus - Channa Marulius,Ikan Gabus,Channa Marulius,KNA,Pelagis Besar
Ikan Jaket Bukur - Aluterus Monoceros,Ikan Jaket Bukur,Aluterus Monoceros,ALM,Ikan Karang
Ikan Kakatua - Scarus Spp,Ikan Kakatua,Scarus Spp,USX,Ikan Karang
Ikan Kakatua Goban - Scarus Ghobban,Ikan Kakatua Goban,Scarus Ghobban,USY,Ikan Karang
Ikan Kakatua Peluru - Chlorurus Sordidus,Ikan Kakatua Peluru,Chlorurus Sordidus,UUS,Ikan Karang
Ikan Lainnya - Ikan Lainnya,Ikan Lainnya,Ikan Lainnya,,Binatang Air Lainnya
Ikan Layaran - Isthiophorus Platypterus,Ikan Layaran,Isthiophorus Platypterus,,pelagis besar
Ikan Layaran - Istiophorus Platypterus,Ikan Layaran,Istiophorus Platypterus,SFA,Pelagis Besar
Ikan Lidah - Cynoglossus Lingua,Ikan Lidah,Cynoglossus Lingua,YOG,Demersal
Ikan Lidah Bengal - Cynoglossus Cynoglossus,Ikan Lidah Bengal,Cynoglossus Cynoglossus,YOY,Demersal
Ikan Lidah Berbintik - Cynoglossus Puncticeps,Ikan Lidah Berbintik,Cynoglossus Puncticeps,YOP,Demersal
Ikan Lidah Garis Ganda - Paraplagusia Bilineata,Ikan Lidah Garis Ganda,Paraplagusia Bilineata,KSV,Demersal
Ikan Lidah Lumpur - Cynoglossus Bilineatus,Ikan Lidah Lumpur,Cynoglossus Bilineatus,YOB,Demersal
Ikan Lidah Sisik Besar - Cynoglossus Arel,Ikan Lidah Sisik Besar,Cynoglossus Arel,YOR,Demersal
Ikan Lidah Sisik Kasar - Cynoglossus Lida,Ikan Lidah Sisik Kasar,Cynoglossus Lida,YOS,Demersal
